"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 16:47:40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_Gluc5_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"52-151-HB M","55-124-HB M","57-152-HB M","58-162-GG M","60-168-GB M","1-137-HB-M","2-138-HB-M","4-130-HB-M","5-139-HH-M","6-125-HH-M","7-136-HH-M","8-133-HB-M"
"A","44244.0","15970.0","14336.0","20567.0","24647.0","9811.0","9696.0","12800.0","10567.0","21268.0","15510.0","21803.0"
"B","43070.0","15122.0","15502.0","19990.0","25043.0","8962.0","9147.0","12203.0","10061.0","20130.0","15870.0","20986.0"
"C","44829.0","15811.0","15791.0","21430.0","27048.0","8736.0","8849.0","11747.0","9622.0","20377.0","14912.0","20678.0"
"D","50491.0","17297.0","15704.0","24324.0","27681.0","8846.0","9024.0","11668.0","9869.0","19514.0","15368.0","20637.0"
"E","300.0","291.0","309.0","260.0","263.0","250.0","228.0","230.0","227.0","214.0","226.0","269.0"
"F","309.0","276.0","308.0","273.0","257.0","254.0","227.0","237.0","216.0","217.0","235.0","278.0"
"G","335.0","297.0","315.0","271.0","266.0","267.0","231.0","245.0","221.0","219.0","257.0","274.0"
"H","348.0","307.0","327.0","287.0","274.0","277.0","250.0","282.0","322.0","242.0","294.0","285.0"
