"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 17:05:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_NAG6_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9-134-HB-M","10-129-HH-M","12-141-HH-M","13-127-HH-M","14-150-HH-M","15-154-GB-M","16-128-HH-M","17-166-GB-M","18-167-GB-M","19-147-HH-M","21-183-GG-M","22-165-GG-M"
"A","17394.0","6899.0","9984.0","23496.0","21908.0","15162.0","18000.0","10121.0","35957.0","9389.0","93079.0","64614.0"
"B","16716.0","6494.0","9518.0","22471.0","21247.0","14807.0","16746.0","9306.0","34675.0","9563.0","94241.0","61731.0"
"C","17017.0","6205.0","8905.0","21049.0","20275.0","12228.0","16610.0","9587.0","33218.0","9003.0","88263.0","60816.0"
"D","16698.0","6349.0","8722.0","19841.0","20165.0","13546.0","16017.0","9035.0","33524.0","9286.0","88159.0","59106.0"
"E","336.0","323.0","314.0","284.0","296.0","295.0","303.0","298.0","436.0","294.0","330.0","301.0"
"F","347.0","314.0","312.0","358.0","404.0","289.0","346.0","312.0","296.0","307.0","316.0","296.0"
"G","344.0","318.0","332.0","295.0","321.0","309.0","301.0","301.0","324.0","766.0","327.0","317.0"
"H","353.0","344.0","421.0","313.0","321.0","333.0","324.0","325.0","323.0","331.0","351.0","342.0"
