"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 16:59:28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_Gluc9_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"56-179-GG-M","59-172-GG-M",3,4,5,6,7,8,9,10,11,12
"A","34432.0","29636.0",38,38,38,38,36,35,36,38,35,36
"B","31298.0","28505.0",37,38,36,36,35,36,41,37,34,36
"C","30104.0","29487.0",38,38,42,36,39,37,35,37,37,34
"D","30630.0","27592.0",39,39,44,38,35,38,33,38,35,37
"E","326.0","377.0",38,38,37,38,40,37,37,34,34,35
"F","339.0","341.0",37,36,35,37,38,34,36,35,35,35
"G","347.0","360.0",36,38,35,38,40,37,35,34,36,33
"H","351.0","398.0",36,36,40,38,38,36,35,35,35,34
