"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 17:13:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_NAG9_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"56-179-GG-M","59-172-GG-M",3,4,5,6,7,8,9,10,11,12
"A","70467.0","42374.0",36,38,35,37,37,35,36,40,38,36
"B","68724.0","42691.0",37,38,40,36,39,39,42,37,35,38
"C","66530.0","40260.0",37,37,41,38,37,39,40,38,38,38
"D","66444.0","40926.0",37,39,37,37,36,38,39,40,38,38
"E","430.0","625.0",37,39,38,38,39,37,40,39,40,38
"F","446.0","455.0",39,38,34,37,39,40,38,38,36,38
"G","440.0","454.0",35,37,35,36,40,38,38,37,40,37
"H","514.0","475.0",35,37,38,38,37,39,40,37,36,37
