"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 16:50:21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_Gluc6_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9-134-HB-M","10-129-HH-M","12-141-HH-M","13-127-HH-M","14-150-HH-M","15-154-GB-M","16-128-HH-M","17-166-GB-M","18-167-GB-M","19-147-HH-M","21-183-GG-M","22-165-GG-M"
"A","15384.0","2849.0","8767.0","17074.0","13972.0","5570.0","7903.0","5643.0","24135.0","7090.0","24242.0","56095.0"
"B","14235.0","2821.0","8431.0","15890.0","12814.0","5457.0","7393.0","5590.0","24975.0","7092.0","23868.0","52739.0"
"C","13896.0","2683.0","7954.0","16305.0","12875.0","5392.0","6837.0","5127.0","24120.0","6971.0","23962.0","49123.0"
"D","14362.0","2614.0","8188.0","16400.0","11487.0","5393.0","7144.0","5187.0","23853.0","6751.0","23893.0","52699.0"
"E","245.0","217.0","237.0","207.0","212.0","282.0","228.0","216.0","211.0","214.0","231.0","212.0"
"F","254.0","214.0","238.0","210.0","216.0","226.0","228.0","208.0","214.0","215.0","231.0","210.0"
"G","263.0","247.0","253.0","211.0","216.0","242.0","230.0","224.0","219.0","339.0","244.0","235.0"
"H","338.0","230.0","243.0","228.0","250.0","276.0","238.0","222.0","222.0","229.0","254.0","225.0"
