"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 17:27:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_Phos9_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"56-179-GG-M","59-172-GG-M",3,4,5,6,7,8,9,10,11,12
"A","70091.0","59602.0",37,38,38,39,38,40,39,34,36,36
"B","67523.0","57898.0",37,38,37,36,37,37,36,37,36,34
"C","64223.0","56264.0",38,37,39,38,37,37,38,35,37,37
"D","65122.0","54589.0",37,39,37,36,36,38,38,36,35,34
"E","7754.0","7434.0",39,37,36,37,38,36,36,35,35,36
"F","7527.0","7110.0",38,37,39,38,38,39,35,34,36,33
"G","7802.0","7412.0",37,36,40,38,39,37,35,36,34,34
"H","8413.0","7602.0",35,38,37,37,38,37,38,36,37,33
