"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 17:41:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_Xylo9_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"56-179-GG-M","59-172-GG-M","51-132-HH M",4,5,6,7,8,9,10,11,12
"A","16357.0","9255.0","7847.0",40,38,38,37,39,39,39,39,35
"B","15610.0","8636.0","7993.0",39,40,39,37,39,39,36,38,37
"C","14547.0","8786.0","8237.0",38,35,40,38,37,39,37,37,37
"D","14617.0","8748.0","8501.0",37,40,37,36,36,37,39,39,36
"E","501.0","516.0","458.0",40,36,40,38,37,39,39,37,37
"F","514.0","510.0","482.0",39,38,39,38,38,38,38,40,39
"G","526.0","533.0","483.0",39,40,39,39,40,40,39,36,36
"H","562.0","679.0","490.0",38,37,38,38,37,35,36,37,36
