Mesocosm,Date,Start,End
4-130-HB,13/10/2025,12:01:23,12:03:23
14-150-HH,13/10/2025,11:57:32,11:59:32
27-171-GB,13/10/2025,11:54:28,11:56:28
13-127-HH,13/10/2025,11:51:26,11:53:26
56-179-GG,13/10/2025,11:48:26,11:50:26
8-133-HB,13/10/2025,11:43:45,11:46:20
24-169-GB,13/10/2025,11:40:45,11:42:45
21-183-GG,13/10/2025,11:37:32,11:39:32
49-140-HB,13/10/2025,11:34:12,11:36:12
12-141-HH,13/10/2025,11:31:03,11:33:03
33-170-GB,13/10/2025,11:27:52,11:29:52
39-173-GG,13/10/2025,11:24:51,11:26:51
48-131-HB,13/10/2025,11:21:27,11:23:27
46-126-HH,13/10/2025,11:18:15,11:20:15
41-157-GG,13/10/2025,11:15:00,11:17:00
25-174-GB,13/10/2025,11:11:50,11:13:50
42-144-HB,13/10/2025,11:08:36,11:10:36
10-129-HH,13/10/2025,11:05:35,11:07:35
17-166-GB,13/10/2025,11:02:30,11:04:30
30-155-GG,13/10/2025,10:59:20,11:01:20
32-123-HB,13/10/2025,10:55:57,10:58:00
16-128-HH,13/10/2025,10:52:42,10:54:52
54-164-GB,13/10/2025,10:49:40,10:51:40
50-160-GG,13/10/2025,10:46:35,10:48:35
53-149-HB,13/10/2025,10:43:20,10:45:20
23-146-HH,13/10/2025,10:39:35,10:41:35
45-161-GB,13/10/2025,10:36:30,10:38:30
36-178-GG,13/10/2025,10:33:29,10:35:29
2-138-HB,13/10/2025,10:30:07,10:32:07
5-139-HH,13/10/2025,10:26:47,10:28:50
18-167-GB,13/10/2025,10:23:42,10:25:42
43-180-GG,13/10/2025,10:20:37,10:22:37
29-148-HB,13/10/2025,10:17:35,10:19:35
19-147-HH,13/10/2025,10:14:27,10:16:27
38-156-GB,13/10/2025,10:11:25,10:13:25
59-172-GG,13/10/2025,10:08:25,10:10:25
9-134-HB,13/10/2025,10:05:22,10:07:22
7-136-HH,13/10/2025,10:02:20,10:04:20
15-154-GB,13/10/2025,09:59:11,10:01:11
35-182-GG,13/10/2025,09:56:00,09:58:00
1-137-HB,13/10/2025,09:53:00,09:55:00
6-125-HH,13/10/2025,09:50:00,09:52:00
26-159-GB,13/10/2025,09:46:50,09:48:50
34-163-GG,13/10/2025,09:43:45,09:45:45
55-124-HB,13/10/2025,09:40:27,09:42:27
51-132-HH,13/10/2025,09:37:25,09:39:25
28-176-GB,13/10/2025,09:34:25,09:36:25
58-162-GG,13/10/2025,09:31:20,09:33:20
47-145-HB,13/10/2025,09:28:10,09:30:10
44-153-HH,13/10/2025,09:25:10,09:27:10
60-168-GB,13/10/2025,09:22:07,09:24:07
37-181-GG,13/10/2025,09:19:07,09:21:07
57-152-HB,13/10/2025,09:16:05,09:18:05
3-135-HH,13/10/2025,09:13:00,09:15:00
40-158-GB,13/10/2025,09:10:00,09:12:00
22-165-GG,13/10/2025,09:07:00,09:09:00
52-151-HB,13/10/2025,09:04:00,09:06:00
11-142-HH,13/10/2025,09:01:00,09:03:00
20-177-GB,13/10/2025,08:57:50,08:59:50
