Mesocosm,Date,Start,End
4-130-HB,29/09/2025,16:34:16,16:36:25
14-150-HH,29/09/2025,16:38:26,16:40:38
27-171-GB,29/09/2025,16:47:48,16:49:50
13-127-HH,29/09/2025,16:51:17,16:53:05
56-179-GG,29/09/2025,16:54:12,16:56:12
8-133-HB,29/09/2025,16:57:17,16:59:25
24-169-GB,29/09/2025,17:00:35,17:02:35
21-183-GG,29/09/2025,17:03:35,17:05:35
49-140-HB,29/09/2025,17:06:36,17:08:36
12-141-HH,29/09/2025,17:09:35,17:11:35
33-170-GB,29/09/2025,17:12:35,17:14:35
39-173-GG,29/09/2025,17:16:00,17:18:00
48-131-HB,29/09/2025,17:19:00,17:21:00
46-126-HH,29/09/2025,17:21:55,17:23:55
41-157-GG,29/09/2025,17:25:01,17:27:01
25-174-GB,29/09/2025,17:28:00,17:29:08
42-144-HB,29/09/2025,17:30:00,17:32:00
10-129-HH,29/09/2025,17:33:02,17:37:00
17-166-GB,29/09/2025,17:38:12,17:40:00
30-155-GG,29/09/2025,17:41:00,17:43:00
32-123-HB,29/09/2025,17:44:00,17:46:00
16-128-HH,29/09/2025,17:48:00,17:50:00
54-164-GB,29/09/2025,17:51:00,17:53:00
50-160-GG,29/09/2025,17:53:55,17:56:00
53-149-HB,29/09/2025,17:57:00,17:59:00
23-146-HH,29/09/2025,18:00:00,18:02:00
45-161-GB,29/09/2025,18:03:00,18:05:08
36-178-GG,29/09/2025,18:06:00,18:08:05
2-138-HB,29/09/2025,18:09:40,18:11:40
5-139-HH,29/09/2025,18:12:40,18:14:40
18-167-GB,29/09/2025,18:15:40,18:17:42
43-180-GG,29/09/2025,18:19:00,18:21:02
29-148-HB,29/09/2025,18:22:40,18:24:40
19-147-HH,29/09/2025,18:25:40,18:27:40
38-156-GB,29/09/2025,18:29:00,18:31:00
59-172-GG,29/09/2025,18:32:00,18:34:00
9-134-HB,29/09/2025,18:35:00,18:37:00
7-136-HH,29/09/2025,18:38:07,18:40:00
15-154-GB,29/09/2025,18:43:53,18:47:37
35-182-GG,29/09/2025,18:49:00,18:51:00
1-137-HB,29/09/2025,18:52:00,18:54:00
6-125-HH,29/09/2025,18:55:00,18:57:00
26-159-GB,29/09/2025,18:58:19,19:01:10
34-163-GG,29/09/2025,19:02:10,19:04:10
55-124-HB,29/09/2025,19:05:10,19:12:25
51-132-HH,29/09/2025,19:13:50,19:15:50
28-176-GB,29/09/2025,19:17:00,19:19:00
58-162-GG,29/09/2025,19:20:00,19:22:07
47-145-HB,29/09/2025,19:23:10,19:25:05
44-153-HH,29/09/2025,19:26:10,19:28:36
60-168-GB,29/09/2025,19:29:42,19:33:00
37-181-GG,29/09/2025,19:34:10,19:36:47
57-152-HB,29/09/2025,19:38:02,19:40:16
3-135-HH,29/09/2025,19:41:30,19:45:00
40-158-GB,29/09/2025,19:46:05,19:49:02
22-165-GG,29/09/2025,19:50:01,19:52:06
52-151-HB,29/09/2025,19:53:05,19:55:00
11-142-HH,29/09/2025,19:56:00,19:58:00
20-177-GB,29/09/2025,19:59:00,20:01:00
