Mesocosm,Date,Start,End
4-130-HB,11/11/2025,11:57:36,11:59:36
14-150-HH,11/11/2025,11:54:47,11:56:47
27-171-GB,11/11/2025,11:39:25,11:41:25
13-127-HH,11/11/2025,11:42:29,11:44:29
56-179-GG,11/11/2025,11:36:30,11:38:30
8-133-HB,11/11/2025,11:51:54,11:53:54
24-169-GB,11/11/2025,11:33:27,11:35:27
21-183-GG,11/11/2025,12:00:30,12:02:30
49-140-HB,11/11/2025,11:45:41,11:47:41
12-141-HH,11/11/2025,11:30:30,11:32:30
33-170-GB,11/11/2025,12:03:30,12:05:30
39-173-GG,11/11/2025,11:48:44,11:50:47
48-131-HB,11/11/2025,11:00:32,11:02:32
46-126-HH,11/11/2025,11:21:21,11:23:45
41-157-GG,11/11/2025,11:03:30,11:05:30
25-174-GB,11/11/2025,11:18:28,11:20:28
42-144-HB,11/11/2025,11:24:30,11:26:30
10-129-HH,11/11/2025,11:15:31,11:17:31
17-166-GB,11/11/2025,11:06:27,11:08:29
30-155-GG,11/11/2025,10:57:27,10:59:27
32-123-HB,11/11/2025,11:12:35,11:14:35
16-128-HH,11/11/2025,11:09:41,11:11:41
54-164-GB,11/11/2025,10:54:25,10:56:25
50-160-GG,11/11/2025,10:27:33,10:29:33
53-149-HB,11/11/2025,10:27:33,10:29:33
23-146-HH,11/11/2025,10:24:30,10:26:30
45-161-GB,11/11/2025,10:45:24,10:47:30
36-178-GG,11/11/2025,10:42:29,10:44:29
2-138-HB,11/11/2025,10:21:27,10:23:27
5-139-HH,11/11/2025,10:48:23,10:50:23
18-167-GB,11/11/2025,10:39:34,10:41:34
43-180-GG,11/11/2025,10:30:31,10:32:31
29-148-HB,11/11/2025,10:51:24,10:53:24
19-147-HH,11/11/2025,10:36:37,10:38:37
38-156-GB,11/11/2025,10:33:28,10:35:29
59-172-GG,11/11/2025,10:18:26,10:20:26
9-134-HB,11/11/2025,10:06:33,10:08:33
7-136-HH,11/11/2025,09:50:30,09:52:30
15-154-GB,11/11/2025,09:47:30,09:49:30
35-182-GG,11/11/2025,10:09:28,10:11:28
1-137-HB,11/11/2025,09:53:30,09:55:30
6-125-HH,11/11/2025,09:44:29,09:46:29
26-159-GB,11/11/2025,10:12:25,10:14:25
34-163-GG,11/11/2025,10:03:24,10:05:24
55-124-HB,11/11/2025,09:41:30,09:43:30
51-132-HH,11/11/2025,10:15:30,10:17:30
28-176-GB,11/11/2025,10:00:28,10:02:28
58-162-GG,11/11/2025,09:56:30,09:58:30
47-145-HB,11/11/2025,09:35:42,09:37:42
44-153-HH,11/11/2025,09:32:24,09:34:24
60-168-GB,11/11/2025,09:17:28,09:19:28
37-181-GG,11/11/2025,09:14:28,09:16:28
57-152-HB,11/11/2025,09:29:30,09:31:30
3-135-HH,11/11/2025,09:20:38,09:22:38
40-158-GB,11/11/2025,09:11:28,09:13:28
22-165-GG,11/11/2025,09:38:30,09:40:30
52-151-HB,11/11/2025,09:23:28,09:25:28
11-142-HH,11/11/2025,09:08:30,09:10:30
20-177-GB,11/11/2025,09:26:37,09:28:37
