Mesocosm,Date,Start,End
4-130-HB,31/10/2025,10:59:33,11:01:35
14-150-HH,31/10/2025,10:50:36,10:52:36
27-171-GB,31/10/2025,10:41:32,10:43:32
13-127-HH,31/10/2025,10:38:28,10:40:28
56-179-GG,31/10/2025,10:32:30,10:34:30
8-133-HB,31/10/2025,10:47:30,10:49:30
24-169-GB,31/10/2025,10:29:27,10:31:27
21-183-GG,31/10/2025,10:56:35,10:58:35
49-140-HB,31/10/2025,10:35:31,10:37:31
12-141-HH,31/10/2025,10:26:31,10:28:31
33-170-GB,31/10/2025,10:53:39,10:55:45
39-173-GG,31/10/2025,10:44:31,10:46:31
48-131-HB,31/10/2025,09:56:25,09:58:25
46-126-HH,31/10/2025,10:23:28,10:25:28
41-157-GG,31/10/2025,10:05:30,10:07:30
25-174-GB,31/10/2025,10:14:30,10:16:30
42-144-HB,31/10/2025,10:20:33,10:22:33
10-129-HH,31/10/2025,10:11:37,10:13:38
17-166-GB,31/10/2025,10:02:32,10:04:34
30-155-GG,31/10/2025,09:53:25,09:55:25
32-123-HB,31/10/2025,10:08:28,10:10:28
16-128-HH,31/10/2025,09:59:21,10:01:21
54-164-GB,31/10/2025,09:50:25,09:52:25
50-160-GG,31/10/2025,10:17:31,10:19:31
53-149-HB,31/10/2025,09:28:50,09:30:50
23-146-HH,31/10/2025,09:19:44,09:21:44
45-161-GB,31/10/2025,09:47:22,09:49:22
36-178-GG,31/10/2025,09:38:16,09:40:16
2-138-HB,31/10/2025,09:16:48,09:18:48
5-139-HH,31/10/2025,09:44:17,09:46:17
18-167-GB,31/10/2025,09:35:00,09:37:00
43-180-GG,31/10/2025,09:25:48,09:27:48
29-148-HB,31/10/2025,09:41:21,09:43:21
19-147-HH,31/10/2025,09:31:48,09:33:48
38-156-GB,31/10/2025,09:22:47,09:24:47
59-172-GG,31/10/2025,09:13:48,09:15:48
9-134-HB,31/10/2025,09:01:49,09:03:49
7-136-HH,31/10/2025,08:52:40,08:54:40
15-154-GB,31/10/2025,08:43:48,08:45:48
35-182-GG,31/10/2025,09:10:48,09:12:48
1-137-HB,31/10/2025,08:49:40,08:51:40
6-125-HH,31/10/2025,08:40:40,08:42:40
26-159-GB,31/10/2025,09:07:50,09:09:50
34-163-GG,31/10/2025,08:58:50,09:00:50
55-124-HB,31/10/2025,08:37:40,08:39:40
51-132-HH,31/10/2025,09:04:57,09:06:57
28-176-GB,31/10/2025,08:55:40,08:57:40
58-162-GG,31/10/2025,08:46:41,08:48:41
47-145-HB,31/10/2025,08:34:40,08:36:40
44-153-HH,31/10/2025,08:28:42,08:30:42
60-168-GB,31/10/2025,08:19:41,08:21:41
37-181-GG,31/10/2025,08:10:42,08:12:42
57-152-HB,31/10/2025,08:25:43,08:27:43
3-135-HH,31/10/2025,08:16:41,08:18:41
40-158-GB,31/10/2025,08:07:42,08:09:42
22-165-GG,31/10/2025,08:31:42,08:33:42
52-151-HB,31/10/2025,08:13:41,08:15:41
11-142-HH,31/10/2025,08:04:41,08:06:41
20-177-GB,31/10/2025,08:22:40,08:24:40
