Mesocosm,Date,Start,End
4-130-HB,27/10/2025,18:00:15,18:02:18
14-150-HH,27/10/2025,17:51:20,17:53:20
27-171-GB,27/10/2025,17:42:25,17:44:25
13-127-HH,27/10/2025,17:39:34,17:41:34
56-179-GG,27/10/2025,17:33:45,17:35:45
8-133-HB,27/10/2025,17:48:23,17:50:23
24-169-GB,27/10/2025,17:30:30,17:32:30
21-183-GG,27/10/2025,17:57:14,17:59:14
49-140-HB,27/10/2025,17:36:45,17:38:45
12-141-HH,27/10/2025,17:27:33,17:29:33
33-170-GB,27/10/2025,17:54:14,17:56:14
39-173-GG,27/10/2025,17:45:34,17:47:34
48-131-HB,27/10/2025,16:56:37,16:58:37
46-126-HH,27/10/2025,17:24:22,17:26:22
41-157-GG,27/10/2025,17:06:19,17:08:19
25-174-GB,27/10/2025,17:15:20,17:17:20
42-144-HB,27/10/2025,17:21:19,17:23:21
10-129-HH,27/10/2025,17:12:14,17:14:14
17-166-GB,27/10/2025,17:03:06,17:05:06
30-155-GG,27/10/2025,16:53:34,16:55:34
32-123-HB,27/10/2025,17:09:17,17:11:17
16-128-HH,27/10/2025,16:59:41,17:01:41
54-164-GB,27/10/2025,16:50:34,16:52:34
50-160-GG,27/10/2025,17:18:25,17:20:25
53-149-HB,27/10/2025,16:38:25,16:40:25
23-146-HH,27/10/2025,16:47:33,16:49:33
45-161-GB,27/10/2025,16:18:52,16:20:52
36-178-GG,27/10/2025,16:28:28,16:30:29
2-138-HB,27/10/2025,16:44:38,16:46:38
5-139-HH,27/10/2025,16:15:35,16:17:35
18-167-GB,27/10/2025,16:24:58,16:26:58
43-180-GG,27/10/2025,16:35:25,16:37:25
29-148-HB,27/10/2025,16:12:17,16:14:17
19-147-HH,27/10/2025,16:21:56,16:23:56
38-156-GB,27/10/2025,16:31:43,16:33:43
59-172-GG,27/10/2025,16:41:30,16:43:30
9-134-HB,27/10/2025,15:59:25,16:01:26
7-136-HH,27/10/2025,15:50:10,15:52:10
15-154-GB,27/10/2025,15:41:02,15:43:02
35-182-GG,27/10/2025,16:09:15,16:11:15
1-137-HB,27/10/2025,15:47:02,15:49:02
6-125-HH,27/10/2025,15:37:55,15:39:55
26-159-GB,27/10/2025,16:05:53,16:07:53
34-163-GG,27/10/2025,15:56:22,15:58:22
55-124-HB,27/10/2025,15:34:43,15:36:43
51-132-HH,27/10/2025,16:02:37,16:04:37
28-176-GB,27/10/2025,15:53:21,15:55:21
58-162-GG,27/10/2025,15:44:03,15:46:03
47-145-HB,27/10/2025,15:31:01,15:33:08
44-153-HH,27/10/2025,15:27:56,15:29:56
60-168-GB,27/10/2025,15:24:35,15:26:35
37-181-GG,27/10/2025,15:21:11,15:23:11
57-152-HB,27/10/2025,15:12:13,15:14:13
3-135-HH,27/10/2025,15:15:11,15:17:12
40-158-GB,27/10/2025,15:18:11,15:20:11
22-165-GG,27/10/2025,15:08:40,15:10:40
52-151-HB,27/10/2025,15:02:40,15:04:40
11-142-HH,27/10/2025,15:05:40,15:07:40
20-177-GB,27/10/2025,14:59:40,15:01:40
