Mesocosm,Date,Start,End
4-130-HB,17/10/2025,12:10:25,12:12:25
14-150-HH,17/10/2025,12:13:32,12:15:32
27-171-GB,17/10/2025,12:16:28,12:18:28
13-127-HH,17/10/2025,12:01:22,12:03:22
56-179-GG,17/10/2025,12:19:23,12:21:23
8-133-HB,17/10/2025,12:04:23,12:06:23
24-169-GB,17/10/2025,11:58:26,12:00:26
21-183-GG,17/10/2025,12:07:20,12:09:20
49-140-HB,17/10/2025,11:48:05,11:50:05
12-141-HH,17/10/2025,11:44:55,11:46:55
33-170-GB,17/10/2025,11:55:20,11:57:25
39-173-GG,17/10/2025,11:52:25,11:54:25
48-131-HB,17/10/2025,11:32:24,11:34:24
46-126-HH,17/10/2025,11:41:52,11:43:52
41-157-GG,17/10/2025,11:35:37,11:37:37
25-174-GB,17/10/2025,11:38:44,11:40:44
42-144-HB,17/10/2025,11:19:46,11:21:46
10-129-HH,17/10/2025,11:22:58,11:24:58
17-166-GB,17/10/2025,11:26:02,11:28:02
30-155-GG,17/10/2025,11:29:01,11:31:02
32-123-HB,17/10/2025,11:13:45,11:15:45
16-128-HH,17/10/2025,11:10:45,11:12:45
54-164-GB,17/10/2025,11:07:46,11:09:46
50-160-GG,17/10/2025,11:16:45,11:18:50
53-149-HB,17/10/2025,11:01:10,11:03:10
23-146-HH,17/10/2025,11:04:48,11:06:48
45-161-GB,17/10/2025,10:55:05,10:57:05
36-178-GG,17/10/2025,10:58:05,11:00:05
2-138-HB,17/10/2025,10:52:05,10:54:05
5-139-HH,17/10/2025,10:23:35,10:25:35
18-167-GB,17/10/2025,10:26:30,10:28:30
43-180-GG,17/10/2025,10:29:30,10:31:30
29-148-HB,17/10/2025,10:11:25,10:13:25
19-147-HH,17/10/2025,10:14:30,10:16:30
38-156-GB,17/10/2025,10:17:36,10:19:36
59-172-GG,17/10/2025,10:20:43,10:22:43
9-134-HB,17/10/2025,10:04:44,10:06:44
7-136-HH,17/10/2025,10:01:25,10:03:25
15-154-GB,17/10/2025,09:58:18,10:00:18
35-182-GG,17/10/2025,10:08:15,10:10:15
1-137-HB,17/10/2025,09:48:48,09:50:48
6-125-HH,17/10/2025,09:45:47,09:47:47
26-159-GB,17/10/2025,09:55:12,09:57:12
34-163-GG,17/10/2025,09:51:43,09:53:43
55-124-HB,17/10/2025,09:33:22,09:35:26
51-132-HH,17/10/2025,09:42:47,09:44:47
28-176-GB,17/10/2025,09:39:35,09:41:35
58-162-GG,17/10/2025,09:36:42,09:38:42
47-145-HB,17/10/2025,09:20:15,09:22:15
44-153-HH,17/10/2025,09:23:38,09:25:38
60-168-GB,17/10/2025,09:27:09,09:29:09
37-181-GG,17/10/2025,09:30:00,09:32:00
57-152-HB,17/10/2025,09:11:10,09:13:10
3-135-HH,17/10/2025,09:14:13,09:16:13
40-158-GB,17/10/2025,09:17:13,09:19:13
22-165-GG,17/10/2025,09:07:30,09:09:30
52-151-HB,17/10/2025,09:01:16,09:03:16
11-142-HH,17/10/2025,08:55:55,08:57:55
20-177-GB,17/10/2025,09:04:24,09:06:24
