Mesocosm,Date,Start,End
4-130-HB,24/10/2025,08:09:25,08:11:25
14-150-HH,24/10/2025,08:18:18,08:20:18
27-171-GB,24/10/2025,08:27:25,08:29:25
13-127-HH,24/10/2025,08:30:30,08:32:30
56-179-GG,24/10/2025,08:36:45,08:38:45
8-133-HB,24/10/2025,08:21:18,08:23:18
24-169-GB,24/10/2025,08:39:48,08:41:48
21-183-GG,24/10/2025,08:12:20,08:14:20
49-140-HB,24/10/2025,08:33:33,08:35:33
12-141-HH,24/10/2025,08:42:49,08:44:49
33-170-GB,24/10/2025,08:15:22,08:17:22
39-173-GG,24/10/2025,08:24:20,08:26:20
48-131-HB,24/10/2025,09:13:13,09:15:13
46-126-HH,24/10/2025,08:45:51,08:47:51
41-157-GG,24/10/2025,09:04:04,09:06:04
25-174-GB,24/10/2025,08:54:58,08:57:00
42-144-HB,24/10/2025,08:48:52,08:50:54
10-129-HH,24/10/2025,08:58:00,09:00:00
17-166-GB,24/10/2025,09:07:02,09:09:02
30-155-GG,24/10/2025,09:16:06,09:18:06
32-123-HB,24/10/2025,09:01:02,09:03:02
16-128-HH,24/10/2025,09:10:15,09:12:15
54-164-GB,24/10/2025,09:19:05,09:21:05
50-160-GG,24/10/2025,08:51:55,08:53:55
53-149-HB,24/10/2025,09:41:03,09:43:03
23-146-HH,24/10/2025,09:50:04,09:52:04
45-161-GB,24/10/2025,09:22:08,09:24:08
36-178-GG,24/10/2025,09:31:50,09:33:50
2-138-HB,24/10/2025,09:53:04,09:55:04
5-139-HH,24/10/2025,09:25:07,09:27:35
18-167-GB,24/10/2025,09:34:57,09:36:59
43-180-GG,24/10/2025,09:44:06,09:46:06
29-148-HB,24/10/2025,09:28:38,09:30:38
19-147-HH,24/10/2025,09:38:06,09:40:06
38-156-GB,24/10/2025,09:47:06,09:49:06
59-172-GG,24/10/2025,09:56:08,09:58:08
9-134-HB,24/10/2025,10:08:28,10:10:28
7-136-HH,24/10/2025,10:17:30,10:19:30
15-154-GB,24/10/2025,10:26:33,10:28:33
35-182-GG,24/10/2025,09:59:32,10:01:32
1-137-HB,24/10/2025,10:20:28,10:22:28
6-125-HH,24/10/2025,10:29:27,10:31:27
26-159-GB,24/10/2025,10:02:38,10:04:38
34-163-GG,24/10/2025,10:11:28,10:13:28
55-124-HB,24/10/2025,10:32:30,10:34:32
51-132-HH,24/10/2025,10:05:31,10:07:31
28-176-GB,24/10/2025,10:14:34,10:16:34
58-162-GG,24/10/2025,10:23:32,10:25:32
47-145-HB,24/10/2025,10:35:45,10:37:45
44-153-HH,24/10/2025,10:41:58,10:43:58
60-168-GB,24/10/2025,10:51:33,10:53:33
37-181-GG,24/10/2025,11:00:50,11:02:50
57-152-HB,24/10/2025,10:45:11,10:47:11
3-135-HH,24/10/2025,10:54:40,10:56:40
40-158-GB,24/10/2025,11:04:23,11:06:23
22-165-GG,24/10/2025,10:38:50,10:40:50
52-151-HB,24/10/2025,10:57:48,10:59:48
11-142-HH,24/10/2025,11:07:11,11:09:11
20-177-GB,24/10/2025,10:48:30,10:50:30
