Mesocosm,Date,Start,End
4-130-HB,22/10/2025,16:35:40,16:38:05
14-150-HH,22/10/2025,16:25:42,16:28:11
27-171-GB,22/10/2025,16:16:10,16:18:10
13-127-HH,22/10/2025,16:13:02,16:15:16
56-179-GG,22/10/2025,16:07:01,16:09:02
8-133-HB,22/10/2025,16:22:33,16:24:33
24-169-GB,22/10/2025,16:04:05,16:06:05
21-183-GG,22/10/2025,16:32:17,16:34:47
49-140-HB,22/10/2025,16:09:55,16:11:55
12-141-HH,22/10/2025,16:00:50,16:02:50
33-170-GB,22/10/2025,16:29:15,16:31:15
39-173-GG,22/10/2025,16:19:15,16:21:32
48-131-HB,22/10/2025,15:28:28,15:30:28
46-126-HH,22/10/2025,15:57:37,15:59:37
41-157-GG,22/10/2025,15:38:00,15:40:05
25-174-GB,22/10/2025,15:48:34,15:50:34
42-144-HB,22/10/2025,15:54:30,15:56:30
10-129-HH,22/10/2025,15:44:32,15:46:32
17-166-GB,22/10/2025,15:34:48,15:36:48
30-155-GG,22/10/2025,15:24:53,15:26:53
32-123-HB,22/10/2025,15:41:21,15:43:31
16-128-HH,22/10/2025,15:31:42,15:33:42
54-164-GB,22/10/2025,15:21:07,15:23:17
50-160-GG,22/10/2025,15:51:35,15:53:35
53-149-HB,22/10/2025,15:08:52,15:10:52
23-146-HH,22/10/2025,15:18:01,15:20:01
45-161-GB,22/10/2025,14:50:05,14:52:05
36-178-GG,22/10/2025,14:59:32,15:01:32
2-138-HB,22/10/2025,15:14:54,15:16:55
5-139-HH,22/10/2025,14:47:05,14:49:05
18-167-GB,22/10/2025,14:56:30,14:58:30
43-180-GG,22/10/2025,15:05:50,15:07:50
29-148-HB,22/10/2025,14:42:40,14:45:52
19-147-HH,22/10/2025,14:53:20,14:55:20
38-156-GB,22/10/2025,15:02:30,15:04:45
59-172-GG,22/10/2025,15:11:58,15:13:58
9-134-HB,22/10/2025,14:29:20,14:31:24
7-136-HH,22/10/2025,14:18:11,14:20:25
15-154-GB,22/10/2025,14:08:53,14:11:10
35-182-GG,22/10/2025,14:39:03,14:41:03
1-137-HB,22/10/2025,14:15:15,14:17:15
6-125-HH,22/10/2025,14:05:44,14:07:54
26-159-GB,22/10/2025,14:35:59,14:38:00
34-163-GG,22/10/2025,14:26:02,14:28:18
55-124-HB,22/10/2025,13:53:16,13:55:47
51-132-HH,22/10/2025,14:32:45,14:34:45
28-176-GB,22/10/2025,14:21:35,14:25:00
58-162-GG,22/10/2025,14:12:12,14:14:12
47-145-HB,22/10/2025,13:17:22,13:19:22
44-153-HH,22/10/2025,13:23:26,13:25:26
60-168-GB,22/10/2025,13:32:49,13:34:49
37-181-GG,22/10/2025,13:42:10,13:44:16
57-152-HB,22/10/2025,13:26:35,13:28:44
3-135-HH,22/10/2025,13:35:52,13:37:52
40-158-GB,22/10/2025,13:45:45,13:48:08
22-165-GG,22/10/2025,13:20:23,13:22:23
52-151-HB,22/10/2025,13:39:02,13:41:02
11-142-HH,22/10/2025,13:49:20,13:52:10
20-177-GB,22/10/2025,13:29:54,13:31:54
