Mesocosm,Date,Start,End
4-130-HB,20/10/2025,13:13:40,13:19:50
14-150-HH,20/10/2025,13:20:57,13:22:53
27-171-GB,20/10/2025,13:23:55,13:26:09
13-127-HH,20/10/2025,13:27:08,13:29:08
56-179-GG,20/10/2025,13:30:08,13:32:08
8-133-HB,20/10/2025,13:33:15,13:35:15
24-169-GB,20/10/2025,13:36:20,13:38:30
21-183-GG,20/10/2025,13:39:30,13:41:40
49-140-HB,20/10/2025,13:43:00,13:45:00
12-141-HH,20/10/2025,13:46:05,13:48:15
33-170-GB,20/10/2025,13:49:20,13:51:57
39-173-GG,20/10/2025,13:53:02,13:55:02
48-131-HB,20/10/2025,13:56:04,13:58:10
46-126-HH,20/10/2025,13:59:12,14:02:00
41-157-GG,20/10/2025,14:03:55,14:05:55
25-174-GB,20/10/2025,14:06:50,14:08:50
42-144-HB,20/10/2025,14:09:50,14:12:03
10-129-HH,20/10/2025,14:13:05,14:15:05
17-166-GB,20/10/2025,14:16:17,14:18:17
30-155-GG,20/10/2025,14:19:19,14:21:19
32-123-HB,20/10/2025,14:22:22,14:24:22
16-128-HH,20/10/2025,14:25:22,14:27:35
54-164-GB,20/10/2025,14:28:48,14:30:48
50-160-GG,20/10/2025,14:31:57,14:33:57
53-149-HB,20/10/2025,14:34:53,14:37:00
23-146-HH,20/10/2025,14:38:03,14:40:03
45-161-GB,20/10/2025,14:41:00,14:43:00
36-178-GG,20/10/2025,14:44:00,14:47:05
2-138-HB,20/10/2025,14:48:10,14:50:10
5-139-HH,20/10/2025,14:51:10,14:53:00
18-167-GB,20/10/2025,14:54:15,14:56:15
43-180-GG,20/10/2025,14:57:20,14:59:20
29-148-HB,20/10/2025,15:00:18,15:02:18
19-147-HH,20/10/2025,15:03:20,15:05:25
38-156-GB,20/10/2025,15:06:17,15:08:17
59-172-GG,20/10/2025,15:09:20,15:11:20
9-134-HB,20/10/2025,15:12:23,15:14:23
7-136-HH,20/10/2025,15:15:25,15:17:25
15-154-GB,20/10/2025,15:18:40,15:20:40
35-182-GG,20/10/2025,15:21:40,15:23:41
1-137-HB,20/10/2025,15:25:02,15:27:02
6-125-HH,20/10/2025,15:28:00,15:30:00
26-159-GB,20/10/2025,15:31:26,15:33:26
34-163-GG,20/10/2025,15:34:22,15:36:22
55-124-HB,20/10/2025,15:37:40,15:39:53
51-132-HH,20/10/2025,15:40:46,15:42:46
28-176-GB,20/10/2025,15:43:55,15:45:55
58-162-GG,20/10/2025,15:46:50,15:49:14
47-145-HB,20/10/2025,15:50:10,15:52:10
44-153-HH,20/10/2025,15:53:07,15:55:07
60-168-GB,20/10/2025,15:56:02,15:58:02
37-181-GG,20/10/2025,15:59:06,16:01:06
57-152-HB,20/10/2025,16:02:14,16:04:14
3-135-HH,20/10/2025,16:05:17,16:07:17
40-158-GB,20/10/2025,16:08:12,16:10:12
22-165-GG,20/10/2025,16:11:15,16:13:15
52-151-HB,20/10/2025,16:14:05,16:16:25
11-142-HH,20/10/2025,16:17:22,16:19:22
20-177-GB,20/10/2025,16:20:15,16:23:10
