Mesocosm,Start,End
4-130-HB,09:46:00,09:48:10
14-150-HH,09:56:17,09:58:40
27-171-GB,10:16:20,10:19:00
13-127-HH,10:03:26,10:05:40
56-179-GG,10:26:50,10:29:05
8-133-HB,09:52:40,09:54:50
24-169-GB,10:23:40,10:25:40
21-183-GG,09:42:40,09:44:40
49-140-HB,09:59:50,10:02:23
12-141-HH,10:20:10,10:22:30
33-170-GB,09:39:10,09:41:20
39-173-GG,09:49:15,09:51:35
48-131-HB,11:08:24,11:10:30
46-126-HH,10:37:50,10:40:10
41-157-GG,10:58:30,11:00:35
25-174-GB,10:48:53,10:51:00
42-144-HB,10:34:20,10:36:40
10-129-HH,10:45:10,10:47:30
17-166-GB,10:55:20,10:57:30
30-155-GG,11:05:00,11:07:00
32-123-HB,10:41:20,10:43:30
16-128-HH,10:52:18,10:54:17
54-164-GB,11:01:48,11:04:00
50-160-GG,10:30:30,10:33:00
53-149-HB,11:38:40,11:40:40
23-146-HH,11:48:35,11:50:40
45-161-GB,11:18:10,11:20:20
36-178-GG,11:28:30,11:30:35
2-138-HB,11:45:05,11:47:30
5-139-HH,11:14:55,11:17:00
18-167-GB,11:25:00,11:27:08
43-180-GG,11:34:55,11:37:05
29-148-HB,11:11:40,11:13:47
19-147-HH,11:21:25,11:23:50
38-156-GB,11:31:40,11:33:50
59-172-GG,11:41:50,11:43:50
9-134-HB,13:10:20,13:12:25
7-136-HH,13:19:45,13:21:50
15-154-GB,13:30:00,13:32:20
35-182-GG,11:58:35,12:35
1-137-HB,13:16:30,13:18:30
6-125-HH,13:26:40,13:29:00
26-159-GB,11:55:10,11:57:20
34-163-GG,13:06:50,13:09:20
55-124-HB,13:23:23,13:25:33
51-132-HH,11:52:05,11:54:10
28-176-GB,12:59:30,13:05:20
58-162-GG,13:13:15,13:15:25
47-145-HB,13:36:50,13:38:54
44-153-HH,13:46:10,13:48:20
60-168-GB,13:56:42,13:58:50
37-181-GG,14:07:00,14:09:10
57-152-HB,13:43:05,13:45:20
3-135-HH,13:52:55,13:55:05
40-158-GB,14:03:10,14:05:45
22-165-GG,13:33:20,13:35:30
52-151-HB,13:49:25,13:52:00
11-142-HH,14:00:00,14:02:12
20-177-GB,13:40:00,13:42:05
