Mesocosm,Date,Start,End
4-130-HB,08/10/2025,17:36:42,17:39:42
14-150-HH,08/10/2025,17:32:25,17:35:40
27-171-GB,08/10/2025,17:28:22,17:31:22
13-127-HH,08/10/2025,17:24:20,17:27:20
56-179-GG,08/10/2025,17:20:16,17:23:16
8-133-HB,08/10/2025,17:16:15,17:19:15
24-169-GB,08/10/2025,17:12:10,17:15:10
21-183-GG,08/10/2025,17:08:00,17:11:10
49-140-HB,08/10/2025,17:03:40,17:06:50
12-141-HH,08/10/2025,16:59:35,17:02:40
33-170-GB,08/10/2025,16:55:03,16:58:34
39-173-GG,08/10/2025,16:51:08,16:54:08
48-131-HB,08/10/2025,16:46:01,16:49:20
46-126-HH,08/10/2025,16:41:31,16:45:00
41-157-GG,08/10/2025,16:37:25,16:40:27
25-174-GB,08/10/2025,16:33:10,16:36:13
42-144-HB,08/10/2025,16:29:10,16:32:10
10-129-HH,08/10/2025,16:25:08,16:28:08
17-166-GB,08/10/2025,16:21:08,16:24:08
30-155-GG,08/10/2025,16:17:02,16:20:02
32-123-HB,08/10/2025,16:13:00,16:16:00
16-128-HH,08/10/2025,16:09:00,16:12:00
54-164-GB,08/10/2025,16:03:00,16:07:30
50-160-GG,08/10/2025,15:59:00,16:02:00
53-149-HB,08/10/2025,15:55:00,15:58:00
23-146-HH,08/10/2025,15:50:55,15:53:55
45-161-GB,08/10/2025,15:46:50,15:49:50
36-178-GG,08/10/2025,15:42:50,15:45:50
2-138-HB,08/10/2025,15:37:50,15:41:50
5-139-HH,08/10/2025,15:17:00,15:20:20
18-167-GB,08/10/2025,15:12:30,15:15:44
43-180-GG,08/10/2025,15:07:50,15:11:08
29-148-HB,08/10/2025,15:02:18,15:05:35
19-147-HH,08/10/2025,14:57:17,15:00:33
38-156-GB,08/10/2025,14:53:00,14:56:06
59-172-GG,08/10/2025,14:48:00,14:51:20
9-134-HB,08/10/2025,14:43:10,14:46:55
7-136-HH,08/10/2025,14:38:40,14:42:05
15-154-GB,08/10/2025,14:33:55,14:37:30
35-182-GG,08/10/2025,14:29:10,14:32:50
1-137-HB,08/10/2025,14:23:30,14:26:40
6-125-HH,08/10/2025,14:19:30,14:22:30
26-159-GB,08/10/2025,14:15:00,14:18:30
34-163-GG,08/10/2025,14:10:00,14:13:00
55-124-HB,08/10/2025,14:04:48,14:08:10
51-132-HH,08/10/2025,13:59:50,14:03:00
28-176-GB,08/10/2025,13:55:25,13:58:50
58-162-GG,08/10/2025,13:51:15,13:54:15
47-145-HB,08/10/2025,13:46:25,13:49:40
44-153-HH,08/10/2025,13:42:12,13:45:12
60-168-GB,08/10/2025,13:38:00,13:41:00
37-181-GG,08/10/2025,13:33:35,13:36:35
57-152-HB,08/10/2025,13:29:15,13:32:05
3-135-HH,08/10/2025,13:24:55,13:27:55
40-158-GB,08/10/2025,13:20:20,13:23:20
22-165-GG,08/10/2025,13:16:00,13:19:15
52-151-HB,08/10/2025,13:11:45,13:14:55
11-142-HH,08/10/2025,13:07:42,13:10:45
20-177-GB,08/10/2025,13:03:31,13:06:31
