Mesocosm,Date,Start,End
4-130-HB,29/10/2025,09:00:22,09:02:22
14-150-HH,29/10/2025,09:03:22,09:05:22
27-171-GB,29/10/2025,09:06:27,09:08:27
13-127-HH,29/10/2025,09:18:28,09:20:28
56-179-GG,29/10/2025,09:09:27,09:11:27
8-133-HB,29/10/2025,09:15:22,09:17:22
24-169-GB,29/10/2025,09:21:22,09:23:22
21-183-GG,29/10/2025,09:12:23,09:14:23
49-140-HB,29/10/2025,09:30:24,09:32:24
12-141-HH,29/10/2025,09:33:24,09:35:24
33-170-GB,29/10/2025,09:24:30,09:26:30
39-173-GG,29/10/2025,09:27:25,09:29:25
48-131-HB,29/10/2025,09:45:35,09:47:35
46-126-HH,29/10/2025,09:36:23,09:38:26
41-157-GG,29/10/2025,09:42:39,09:44:39
25-174-GB,29/10/2025,09:39:33,09:41:33
42-144-HB,29/10/2025,09:48:35,09:50:35
10-129-HH,29/10/2025,09:51:35,09:53:35
17-166-GB,29/10/2025,09:54:40,09:56:40
30-155-GG,29/10/2025,09:57:39,09:59:39
32-123-HB,29/10/2025,10:03:39,10:05:39
16-128-HH,29/10/2025,10:06:37,10:08:38
54-164-GB,29/10/2025,10:09:37,10:11:37
50-160-GG,29/10/2025,10:00:39,10:02:39
53-149-HB,29/10/2025,10:18:31,10:20:33
23-146-HH,29/10/2025,10:21:32,10:23:32
45-161-GB,29/10/2025,10:12:39,10:14:39
36-178-GG,29/10/2025,10:15:31,10:17:31
2-138-HB,29/10/2025,10:33:32,10:35:32
5-139-HH,29/10/2025,10:24:31,10:26:31
18-167-GB,29/10/2025,10:27:33,10:29:33
43-180-GG,29/10/2025,10:30:32,10:32:32
29-148-HB,29/10/2025,10:36:30,10:38:30
19-147-HH,29/10/2025,10:39:34,10:41:34
38-156-GB,29/10/2025,10:42:33,10:44:33
59-172-GG,29/10/2025,10:45:34,10:47:34
9-134-HB,29/10/2025,10:51:34,10:53:34
7-136-HH,29/10/2025,10:54:30,10:56:30
15-154-GB,29/10/2025,10:57:31,10:59:31
35-182-GG,29/10/2025,10:48:30,10:50:30
1-137-HB,29/10/2025,11:06:51,11:09:02
6-125-HH,29/10/2025,11:10:02,11:12:02
26-159-GB,29/10/2025,11:00:34,11:02:44
34-163-GG,29/10/2025,11:03:54,11:05:54
55-124-HB,29/10/2025,11:22:02,11:24:02
51-132-HH,29/10/2025,11:13:03,11:15:03
28-176-GB,29/10/2025,11:15:58,11:17:58
58-162-GG,29/10/2025,11:19:05,11:21:05
47-145-HB,29/10/2025,11:25:01,11:27:01
44-153-HH,29/10/2025,11:28:01,11:30:01
60-168-GB,29/10/2025,11:31:00,11:33:00
37-181-GG,29/10/2025,11:33:58,11:35:58
57-152-HB,29/10/2025,11:39:52,11:41:52
3-135-HH,29/10/2025,11:42:50,11:44:50
40-158-GB,29/10/2025,11:45:53,11:47:53
22-165-GG,29/10/2025,11:36:56,11:38:56
52-151-HB,29/10/2025,11:51:47,11:53:48
11-142-HH,29/10/2025,11:54:49,11:56:49
20-177-GB,29/10/2025,11:48:50,11:50:50
