Mesocosm,Date,Start,End
4-130-HB,03/11/2025,11:20:33,11:22:47
14-150-HH,03/11/2025,11:29:38,11:31:38
27-171-GB,03/11/2025,11:38:43,11:40:43
13-127-HH,03/11/2025,11:41:40,11:43:40
56-179-GG,03/11/2025,11:47:44,11:49:44
8-133-HB,03/11/2025,11:32:41,11:34:41
24-169-GB,03/11/2025,11:50:45,11:52:45
21-183-GG,03/11/2025,11:23:47,11:25:47
49-140-HB,03/11/2025,11:44:44,11:46:44
12-141-HH,03/11/2025,11:53:43,11:55:46
33-170-GB,03/11/2025,11:26:43,11:28:43
39-173-GG,03/11/2025,11:35:42,11:37:42
48-131-HB,03/11/2025,15:32:47,15:34:47
46-126-HH,03/11/2025,11:56:43,11:58:43
41-157-GG,03/11/2025,15:21:41,15:25:16
25-174-GB,03/11/2025,12:05:42,12:07:42
42-144-HB,03/11/2025,11:59:41,12:01:41
10-129-HH,03/11/2025,12:08:45,12:10:45
17-166-GB,03/11/2025,15:26:18,15:28:18
30-155-GG,03/11/2025,15:35:44,15:37:44
32-123-HB,03/11/2025,12:11:37,12:13:37
16-128-HH,03/11/2025,15:29:18,15:31:45
54-164-GB,03/11/2025,15:38:44,15:40:43
50-160-GG,03/11/2025,12:02:42,12:04:42
53-149-HB,03/11/2025,15:59:44,16:01:44
23-146-HH,03/11/2025,16:08:39,16:10:39
45-161-GB,03/11/2025,15:41:44,15:43:44
36-178-GG,03/11/2025,15:50:40,15:52:40
2-138-HB,03/11/2025,16:11:41,16:13:41
5-139-HH,03/11/2025,15:44:44,15:46:44
18-167-GB,03/11/2025,15:53:48,15:55:48
43-180-GG,03/11/2025,16:02:41,16:04:41
29-148-HB,03/11/2025,15:47:44,15:49:44
19-147-HH,03/11/2025,15:56:45,15:58:46
38-156-GB,03/11/2025,16:05:41,16:07:41
59-172-GG,03/11/2025,16:14:43,16:16:43
9-134-HB,03/11/2025,16:26:40,16:28:40
7-136-HH,03/11/2025,16:35:39,16:37:39
15-154-GB,03/11/2025,16:44:40,16:46:42
35-182-GG,03/11/2025,16:17:42,16:19:42
1-137-HB,03/11/2025,16:38:35,16:40:35
6-125-HH,03/11/2025,16:47:40,16:49:40
26-159-GB,03/11/2025,16:20:45,16:22:45
34-163-GG,03/11/2025,16:29:40,16:31:41
55-124-HB,03/11/2025,16:50:38,16:52:38
51-132-HH,03/11/2025,16:23:40,16:25:40
28-176-GB,03/11/2025,16:32:41,16:34:41
58-162-GG,03/11/2025,16:41:36,16:43:36
47-145-HB,03/11/2025,16:53:40,16:55:45
44-153-HH,03/11/2025,16:59:42,17:01:46
60-168-GB,03/11/2025,17:08:40,17:10:50
37-181-GG,03/11/2025,17:17:44,17:19:45
57-152-HB,03/11/2025,17:02:46,17:04:46
3-135-HH,03/11/2025,17:11:53,17:13:53
40-158-GB,03/11/2025,17:20:50,17:22:50
22-165-GG,03/11/2025,16:56:47,16:58:47
52-151-HB,03/11/2025,17:14:44,17:16:44
11-142-HH,03/11/2025,17:23:49,17:25:49
20-177-GB,03/11/2025,17:05:38,17:07:38
