Mesocosm,Date,Start,End
4-130-HB,10/10/2025,08:28:15,08:30:15
14-150-HH,10/10/2025,08:31:30,08:33:30
27-171-GB,10/10/2025,08:34:40,08:36:40
13-127-HH,10/10/2025,08:18:55,08:21:00
56-179-GG,10/10/2025,08:38:05,08:40:10
8-133-HB,10/10/2025,08:22:05,08:24:07
24-169-GB,10/10/2025,08:15:50,08:17:50
21-183-GG,10/10/2025,08:25:05,08:27:10
49-140-HB,10/10/2025,08:09:00,08:11:32
12-141-HH,10/10/2025,08:12:35,08:14:45
33-170-GB,10/10/2025,08:02:30,08:04:30
39-173-GG,10/10/2025,08:05:30,08:07:30
48-131-HB,10/10/2025,09:07:02,09:09:23
46-126-HH,10/10/2025,09:17:22,09:19:22
41-157-GG,10/10/2025,09:10:40,09:12:45
25-174-GB,10/10/2025,09:13:50,09:16:11
42-144-HB,10/10/2025,08:53:55,08:56:10
10-129-HH,10/10/2025,08:57:17,08:59:17
17-166-GB,10/10/2025,09:00:44,09:02:45
30-155-GG,10/10/2025,09:03:50,09:05:55
32-123-HB,10/10/2025,08:47:30,08:49:35
16-128-HH,10/10/2025,08:44:27,08:46:27
54-164-GB,10/10/2025,08:41:16,08:43:16
50-160-GG,10/10/2025,08:50:40,08:52:45
53-149-HB,10/10/2025,09:50:11,09:52:11
23-146-HH,10/10/2025,09:46:30,09:48:50
45-161-GB,10/10/2025,09:56:47,09:59:00
36-178-GG,10/10/2025,09:53:15,09:55:20
2-138-HB,10/10/2025,09:43:30,09:45:30
5-139-HH,10/10/2025,09:34:10,09:36:10
18-167-GB,10/10/2025,09:37:15,09:39:20
43-180-GG,10/10/2025,09:40:20,09:42:20
29-148-HB,10/10/2025,09:30:55,09:33:02
19-147-HH,10/10/2025,09:27:45,09:29:45
38-156-GB,10/10/2025,09:23:50,09:26:30
59-172-GG,10/10/2025,09:20:35,09:22:47
9-134-HB,10/10/2025,10:33:50,10:36:07
7-136-HH,10/10/2025,10:30:37,10:32:47
15-154-GB,10/10/2025,10:27:30,10:29:36
35-182-GG,10/10/2025,10:37:18,10:39:20
1-137-HB,10/10/2025,10:20:30,10:22:55
6-125-HH,10/10/2025,10:24:00,10:26:31
26-159-GB,10/10/2025,10:13:50,10:16:07
34-163-GG,10/10/2025,10:17:20,10:19:30
55-124-HB,10/10/2025,10:00:10,10:02:40
51-132-HH,10/10/2025,10:10:50,10:12:50
28-176-GB,10/10/2025,10:07:20,10:09:20
58-162-GG,10/10/2025,10:03:53,10:06:10
47-145-HB,10/10/2025,11:05:00,11:07:00
44-153-HH,10/10/2025,11:08:10,11:10:10
60-168-GB,10/10/2025,11:11:40,11:13:55
37-181-GG,10/10/2025,11:15:15,11:17:20
57-152-HB,10/10/2025,10:58:38,11:00:50
3-135-HH,10/10/2025,10:55:15,10:57:10
40-158-GB,10/10/2025,10:52:00,10:54:00
22-165-GG,10/10/2025,11:01:55,11:04:00
52-151-HB,10/10/2025,10:44:20,10:46:40
11-142-HH,10/10/2025,10:41:10,10:43:07
20-177-GB,10/10/2025,10:48:20,10:50:40
