"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 26/06/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 18:33:56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS-26-06-2026_Xylo2_gain782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20-177-GB","22-165-GG","23-146-HH","24-169-GB","25-174-GB","27-171-GB","28-176-GB","29-148-HB","30-155-GG","32-123-HB","34-163-GG","35-182-GG"
"A","25903.0","18833.0","27675.0","10798.0","6223.0","13178.0","7350.0","9581.0","12616.0","6584.0","27854.0","8817.0"
"B","23591.0","17286.0","26391.0","10172.0","5957.0","12568.0","6848.0","8624.0","12647.0","6736.0","27060.0","8471.0"
"C","24043.0","17806.0","23644.0","10057.0","5720.0","11028.0","6803.0","8823.0","13359.0","6785.0","25703.0","8248.0"
"D","23491.0","34742.0","25051.0","9078.0","6069.0","12129.0","6785.0","8921.0","13922.0","7007.0","24535.0","8217.0"
"E","842.0","340.0","760.0","718.0","1050.0","688.0","633.0","905.0","642.0","676.0","668.0","751.0"
"F","825.0","762.0","791.0","798.0","683.0","688.0","613.0","901.0","920.0","739.0","660.0","1024.0"
"G","845.0","770.0","758.0","783.0","710.0","717.0","639.0","706.0","676.0","692.0","696.0","799.0"
"H","920.0","813.0","809.0","817.0","729.0","751.0","933.0","693.0","726.0","727.0","737.0","23642.0"
