"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 26/06/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 17:56:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS-26-06-2026_Gluc4_gain782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"40-158-GB M","44-153-HH M","47-145-HB M","51-132-HH M",5,6,7,8,9,10,11,12
"A","99862.0","18030.0","21450.0","17046.0",131,120,156,121,106,41,42,41
"B","92489.0","17147.0","23766.0","15979.0",130,133,169,127,127,43,39,42
"C","93028.0","15943.0","21562.0","14787.0",145,149,170,135,136,41,43,41
"D","90666.0","15432.0","19649.0","14864.0",142,143,174,138,119,41,44,43
"E","389.0","387.0","465.0","378.0",142,120,172,98,122,43,46,41
"F","386.0","407.0","406.0","340.0",150,129,181,116,113,43,41,41
"G","394.0","404.0","406.0","347.0",165,266,181,111,111,39,39,42
"H","415.0","410.0","436.0","346.0",159,442,162,118,130,41,40,40
