"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 26/06/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 18:28:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS-26-06-2026_Phos4_gain782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"40-158-GB M","44-153-HH M","47-145-HB M","51-132-HH M",5,6,7,8,9,10,11,12
"A","129755.0","45843.0","52258.0","61435.0",151,110,162,123,58,41,43,43
"B","128793.0","46009.0","30248.0","49402.0",197,128,187,140,106,41,41,41
"C","130350.0","42185.0","50731.0","56671.0",149,141,184,143,112,43,42,42
"D","126949.0","45923.0","53143.0","53798.0",142,137,182,143,130,43,41,43
"E","9328.0","8796.0","9123.0","8827.0",154,137,173,86,117,41,40,42
"F","9070.0","8954.0","9008.0","8966.0",152,142,172,91,111,43,42,42
"G","7513.0","9367.0","9208.0","8738.0",164,147,193,96,135,40,41,41
"H","6603.0","9547.0","9538.0","9071.0",172,153,180,103,106,41,42,39
