"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 26/06/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 18:25:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS-26-06-2026_Phos3_gain782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"39-173-GG","43-180-GG","46-126-HH","51-132-HH","56-179-GG","57-152-HB","60-168-GB","3-135-HH M","11-142-HH M","20-177-GB M","28-176-GB M","37-181-GG M"
"A","104087.0","29947.0","159182.0","122225.0","56868.0","39041.0","56993.0","77625.0","23945.0","51431.0","25601.0","43808.0"
"B","100735.0","29513.0","152839.0","117362.0","53833.0","37105.0","55669.0","71947.0","22343.0","48654.0","24493.0","41028.0"
"C","102097.0","29139.0","141712.0","112565.0","50617.0","33128.0","57035.0","68726.0","21118.0","47340.0","23660.0","39157.0"
"D","98700.0","28373.0","146544.0","108331.0","53305.0","36569.0","58697.0","69369.0","20278.0","46943.0","23739.0","39500.0"
"E","9759.0","9203.0","8608.0","8326.0","8693.0","8129.0","8224.0","8347.0","8242.0","8249.0","8528.0","8631.0"
"F","9280.0","9032.0","8643.0","8376.0","8301.0","8183.0","8327.0","8586.0","7953.0","8604.0","8697.0","8922.0"
"G","9760.0","9421.0","9009.0","8513.0","8591.0","8474.0","8147.0","8569.0","8320.0","8475.0","8900.0","8704.0"
"H","10016.0","9932.0","9507.0","9015.0","9209.0","8949.0","8832.0","9383.0","8460.0","9230.0","9328.0","9355.0"
