"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 26/06/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 18:30:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS-26-06-2026_Xylo1_gain782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"1-137-HB","2-138-HB","4-130-HB","8-133-HB","9-134-HB","10-129-HH","12-141-HH","13-127-HH","14-150-HH","15-154-GB","17-166-GB","19-147-HH"
"A","3391.0","3613.0","8440.0","22051.0","6150.0","7279.0","6122.0","13162.0","19475.0","2903.0","18243.0","13042.0"
"B","3321.0","3281.0","7656.0","20684.0","5814.0","6854.0","5783.0","12241.0","18470.0","2829.0","20006.0","13725.0"
"C","3147.0","3721.0","7160.0","19701.0","5561.0","6079.0","5472.0","12199.0","17224.0","2690.0","21000.0","13390.0"
"D","3225.0","3156.0","7396.0","18249.0","5706.0","6768.0","5322.0","12200.0","17615.0","2690.0","23240.0","12865.0"
"E","788.0","759.0","814.0","757.0","691.0","689.0","647.0","661.0","639.0","477.0","715.0","734.0"
"F","1130.0","811.0","827.0","760.0","751.0","701.0","679.0","658.0","191.0","732.0","713.0","744.0"
"G","1379.0","851.0","848.0","790.0","724.0","737.0","655.0","678.0","645.0","756.0","713.0","744.0"
"H","849.0","820.0","877.0","782.0","757.0","752.0","716.0","716.0","710.0","802.0","760.0","805.0"
