"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 26/06/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 18:19:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS-26-06-2026_Phos1_gain782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"1-137-HB","2-138-HB","4-130-HB","8-133-HB","9-134-HB","10-129-HH","12-141-HH","13-127-HH","14-150-HH","15-154-GB","17-166-GB","19-147-HH"
"A","19156.0","23347.0","45636.0","104542.0","33688.0","71148.0","27057.0","64034.0","145528.0","25479.0","53899.0","50831.0"
"B","18320.0","22173.0","39094.0","99370.0","29239.0","65698.0","24618.0","53942.0","51834.0","23317.0","51044.0","43291.0"
"C","18722.0","21604.0","36869.0","95133.0","20165.0","58720.0","24030.0","53105.0","120695.0","19344.0","50414.0","39266.0"
"D","17733.0","21299.0","37823.0","86055.0","30921.0","61924.0","23593.0","52285.0","72543.0","18843.0","51977.0","41444.0"
"E","9770.0","9168.0","8764.0","8456.0","8829.0","8298.0","8214.0","8566.0","8341.0","8447.0","8534.0","8375.0"
"F","9779.0","9304.0","8862.0","8582.0","8317.0","8273.0","8248.0","8338.0","8246.0","8537.0","8478.0","8705.0"
"G","9981.0","9489.0","9021.0","8730.0","8690.0","8438.0","8207.0","8626.0","8432.0","8890.0","8837.0","8930.0"
"H","10313.0","9874.0","9421.0","9233.0","9143.0","8834.0","9503.0","8922.0","9090.0","9140.0","9276.0","9631.0"
