"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 26/06/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 18:12:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS-26-06-2026_NAG4_gain700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"40-158-GB M","44-153-HH M","47-145-HB M","51-132-HH M",5,6,7,8,9,10,11,12
"A","211219.0","9703.0","11760.0","8843.0",77,65,76,74,50,33,30,30
"B","198490.0","9179.0","7102.0","8293.0",80,72,87,76,69,31,32,31
"C","198048.0","8932.0","8943.0","7673.0",86,80,94,77,72,32,33,31
"D","161382.0","8649.0","5753.0","7498.0",82,77,94,87,60,31,30,31
"E","263.0","254.0","286.0","242.0",81,75,105,53,66,32,33,32
"F","258.0","285.0","249.0","229.0",82,77,103,57,64,33,31,30
"G","262.0","299.0","253.0","239.0",89,81,107,64,73,30,30,30
"H","308.0","263.0","508.0","227.0",91,74,102,65,83,31,29,31
